,train_acc_1,train_acc_2,train_acc_3,train_loss_1,train_loss_2,train_loss_3,val_acc,val_acc_1,val_acc_2,val_acc_3,val_loss_1,val_loss_2,val_loss_3
11,0.90625,0.90625,0.96875,0.16795623302459717,0.34935128688812256,0.06172874942421913,0.9778000116348267,0.9710999727249146,0.9675999879837036,0.9656000137329102,0.09756094217300415,0.10561910271644592,0.11521818488836288
12,1.0,0.96875,0.90625,0.03796300292015076,0.07146777212619781,0.26090142130851746,0.9772999882698059,0.9670000076293945,0.9581000208854675,0.967199981212616,0.10805165767669678,0.13130339980125427,0.10782226920127869
13,1.0,0.9375,0.96875,0.021185975521802902,0.14457495510578156,0.06843748688697815,0.9787999987602234,0.9684000015258789,0.9666000008583069,0.9675999879837036,0.10214393585920334,0.10672268271446228,0.10482330620288849
14,1.0,1.0,0.96875,0.024380076676607132,0.05494624003767967,0.18985965847969055,0.978600025177002,0.9656999707221985,0.9675999879837036,0.9621000289916992,0.10656894743442535,0.1072600707411766,0.11833199113607407
15,0.8125,1.0,0.96875,0.6614247560501099,0.023845547810196877,0.09546658396720886,0.9789000153541565,0.967199981212616,0.9638000130653381,0.9690999984741211,0.10575554519891739,0.11831391602754593,0.09976749122142792
16,0.96875,1.0,1.0,0.0905880257487297,0.036051709204912186,0.012095553800463676,0.9800000190734863,0.9704999923706055,0.9700999855995178,0.9678999781608582,0.0957658663392067,0.10193637758493423,0.10310713946819305
17,1.0,1.0,1.0,0.021550215780735016,0.016194818541407585,0.04121929034590721,0.9785000085830688,0.9710000157356262,0.9653000235557556,0.9653000235557556,0.09467172622680664,0.1124822124838829,0.11000001430511475
18,1.0,1.0,1.0,0.053019892424345016,0.013901453465223312,0.008539688773453236,0.980400025844574,0.9674999713897705,0.9721999764442444,0.968999981880188,0.10327815264463425,0.09468797594308853,0.09624869376420975
19,1.0,1.0,0.96875,0.05959942191839218,0.029160065576434135,0.031685177236795425,0.9778000116348267,0.9667999744415283,0.9657999873161316,0.9621000289916992,0.10503554344177246,0.11049900949001312,0.11974938958883286
20,0.96875,1.0,0.96875,0.07530415058135986,0.011555150151252747,0.04181528091430664,0.9790999889373779,0.9711999893188477,0.9671000242233276,0.9670000076293945,0.09378425031900406,0.10613340139389038,0.10314321517944336
21,1.0,1.0,1.0,0.011312917806208134,0.012770924717187881,0.023405468091368675,0.9781000018119812,0.9702000021934509,0.9699000120162964,0.970300018787384,0.09643304347991943,0.10389416664838791,0.1000664085149765
22,0.9375,1.0,1.0,0.07626210898160934,0.009008627384901047,0.006180428434163332,0.9804999828338623,0.970300018787384,0.972000002861023,0.9667999744415283,0.09805114567279816,0.09728994220495224,0.10704118758440018
23,0.9375,1.0,0.96875,0.3360874652862549,0.003288022708147764,0.0470145083963871,0.977400004863739,0.965499997138977,0.9722999930381775,0.9668999910354614,0.11909515410661697,0.09764523804187775,0.1075592041015625
24,1.0,1.0,0.9375,0.023834604769945145,0.020539134740829468,0.0835205689072609,0.9789999723434448,0.9696000218391418,0.9718999862670898,0.9585000276565552,0.09589637815952301,0.09583830833435059,0.13227128982543945
25,1.0,1.0,1.0,0.02296498790383339,0.026266321539878845,0.02391410619020462,0.9797999858856201,0.9710000157356262,0.9620000123977661,0.9672999978065491,0.09382113069295883,0.12976108491420746,0.10707972198724747
26,1.0,1.0,1.0,0.03656391799449921,0.0039363885298371315,0.053174395114183426,0.979200005531311,0.9671000242233276,0.9700999855995178,0.9666000008583069,0.1092400848865509,0.10157862305641174,0.10954466462135315
27,1.0,1.0,0.96875,0.03195950388908386,0.010747749358415604,0.09801506996154785,0.9812999963760376,0.9689000248908997,0.9729999899864197,0.9708999991416931,0.10609133541584015,0.09452464431524277,0.09928404539823532
28,1.0,0.96875,1.0,0.00812192726880312,0.052676599472761154,0.04489031806588173,0.9810000061988831,0.9731000065803528,0.9677000045776367,0.9708999991416931,0.08849191665649414,0.1054612398147583,0.09781868755817413
