,acc_ensemble,acc_1,acc_2,acc_3,acc_4,acc_5,loss_1,loss_2,loss_3,loss_4,loss_5
39,0.9200000000000002,0.8925000000000001,0.8875000000000002,0.8775000000000001,0.9074999999999998,0.8749999999999998,11.578521728515625,10.85304069519043,1.2145490646362305,9.347541809082031,3.773076057434082
40,0.9349999999999998,0.9075,0.8724999999999998,0.8975,0.905,0.89,2.2103219032287598,0.6403627395629883,1.822033166885376,6.1210527420043945,17.86956024169922
41,0.9324999999999998,0.9174999999999999,0.8950000000000001,0.8975,0.8949999999999999,0.885,5.706843376159668,1.878556251525879,0.606360673904419,0.9272332191467285,3.3240365982055664
42,0.9374999999999998,0.9199999999999999,0.9200000000000002,0.9025000000000001,0.9025000000000001,0.8975,6.505182266235352,8.3394775390625,1.2819879055023193,4.950440406799316,0.8343460559844971
43,0.9474999999999998,0.9225,0.9099999999999999,0.9100000000000001,0.8975,0.8949999999999999,10.36107063293457,5.48306941986084,1.0167732238769531,20.9171085357666,0.0
44,0.9475,0.9424999999999999,0.915,0.9125,0.9099999999999999,0.8999999999999998,6.392927646636963,14.979717254638672,12.477927207946777,12.587522506713867,9.275872230529785
45,0.945,0.9374999999999998,0.9125,0.9075000000000001,0.9174999999999999,0.9174999999999999,0.0,5.7956342697143555,15.817394256591797,0.9858219623565674,10.276187896728516
46,0.9549999999999998,0.9274999999999999,0.9175000000000001,0.9125,0.915,0.9074999999999998,6.472163200378418,0.632061243057251,9.914819717407227,7.503237724304199,0.07397103309631348
47,0.945,0.9199999999999997,0.9200000000000002,0.9025000000000001,0.9175000000000001,0.9149999999999998,14.85270881652832,0.17893576622009277,4.544248580932617,0.7275943756103516,5.678475379943848
48,0.9424999999999999,0.9249999999999998,0.9175000000000001,0.9099999999999999,0.9200000000000002,0.9075,9.060094833374023,0.28372859954833984,2.451052665710449,0.6942775249481201,3.7654378414154053
49,0.945,0.9299999999999999,0.915,0.9125,0.925,0.9124999999999999,0.7819979190826416,5.618202209472656,0.42259860038757324,4.571619987487793,4.752739429473877
50,0.9474999999999998,0.9274999999999999,0.915,0.915,0.9225,0.9224999999999998,2.4812843799591064,2.358269214630127,1.481180191040039,3.5059142112731934,2.216029405593872
51,0.9474999999999998,0.9349999999999998,0.9175000000000001,0.9174999999999999,0.9249999999999998,0.9149999999999998,4.775081634521484,4.537481307983398,0.4673593044281006,5.587843894958496,0.0
52,0.9474999999999998,0.9299999999999999,0.915,0.9174999999999999,0.9199999999999999,0.9199999999999999,2.4632461071014404,3.375976800918579,0.0,5.21993350982666,1.6409876346588135
53,0.9474999999999998,0.9324999999999999,0.9175000000000001,0.9199999999999999,0.9274999999999999,0.9199999999999999,4.382052421569824,0.5668070316314697,1.6476173400878906,9.467737197875977,2.075697422027588
54,0.9474999999999998,0.9274999999999999,0.9175000000000001,0.9199999999999999,0.9249999999999998,0.9224999999999998,1.325592041015625,10.984333038330078,3.3081459999084473,0.7584612369537354,1.1714818477630615
55,0.9474999999999998,0.9299999999999999,0.9175000000000001,0.9199999999999999,0.9274999999999999,0.9224999999999998,0.5114984512329102,9.480707168579102,15.949514389038086,4.159221172332764,7.5916924476623535
56,0.9474999999999998,0.9299999999999999,0.9225000000000001,0.9199999999999999,0.9274999999999999,0.9224999999999998,3.8031723499298096,11.629840850830078,0.11971783638000488,1.3208091259002686,0.7421103715896606
57,0.9474999999999998,0.9324999999999998,0.9225000000000001,0.9199999999999999,0.9274999999999999,0.9224999999999998,6.148283958435059,0.0,0.0,8.089225769042969,4.603031158447266
58,0.9474999999999998,0.9324999999999998,0.9225000000000001,0.9175000000000001,0.9274999999999999,0.9224999999999998,13.245515823364258,8.326433181762695,3.923201322555542,1.9359865188598633,2.9539451599121094
